Is_Unreliable,Category,Tweet
1,"1, 3, 6, 9",We are living in scary times in Canada. Gov’t refuses to protect Canadians from coronavirus
1,"1, 6, 8, 9","Just as bad in Canada. In fact, our government is now accusing us of racism for blaming the Chinese for coronavirus"
1,"1, 4, 9","It was only a matter of time before the mainstream media decided to blame the coronavirus on climate change, I suppose."
1,"6, 8","Russia's taking no chances: Foreigners infected with the new Chinese coronavirus will be quarantined, isolated &amp; deported, PM"
1,"6, 8, 9","Although there is now a presumptive confirmed case of Wuhan novel coronavirus, I want you to know that Ontario is prepared"
1,"3, 10","hooray, finally there is a propaganda banner telling people they can make babies if getting bored staying home #coronavirus"
1,"5, 6, 10",#Russia is pushing propaganda claiming the #coronavirus is a US bio weapon targeting #China because of #Trump’s trade
1,8,Who Says It's Not Safe to Travel to China? | @nytimes https://t.co/XnCdNqUmWi #travelmarketing #coronavirus #China #travelwarning #travel #thursdaythoughts #Toronto
1,3,The best defense against disturbing new diseases like #coronavirus is bolstering public health systems of the world’s
1,"1, 3, 6, 8","China, Desperate to Stop Coronavirus, Turns Neighbor Against Neighbor “(People from Wuhan) are pariahs in China, among the millions unable to go home and feared as potential carriers of the mysterious coronavirus."
1,"5, 11","Coronavirus, with zero American fatalities, is dominating headlines, while the flu has killed dozens of U.S. kids this s…"
1,"5, 6, 7, 8, 9",RT @daveaurkov: #Iran just killed 57 of our citizens. The #coronavirus is spreading for Canadians   Our economy needs support.  
1,"3, 6, 8, 15",The Chinese Coronavirus has become a major existential crisis for secretary xi and his cadre of miscreants. 
1,9,"Diseases like coronavirus remind us why we need robust institutions and investments in public health, and a government that is prepared to jump into action at a moment's notice"
1,"2, 10, 11",YA THINK!!?!!?! Study claiming new #coronavirus can be transmitted by people without symptoms was flawed
1,10,It was good for publicity’ says man arrested for false coronavirus claim on Jamaica-bound plane - via @680news https://t.co/IdyDbXqPqq
1,"6, 11, 14","The #coronavirus outbreak may have been predicted in the Bible, as well as its origins in China's markets."
1,"6, 11",Coronavirus cure: 'Substantial benefits' recorded after breakthrough drug used in China https://t.co/IyJwUTTKbc 
1,"1, 3, 4, 9",I see more and more videos of people refusing to be quarantined due to #coronavirus. They’re definitely terrified of something
1,"9, 10, 11, 12, 15","Communist China is lying about true extent of Coronavirus outbreak - If Communist China doesn’t come clean, internation"
1,"6, 10, 15","Exclusive: Chinese Regime Deploys 1,600 Online Trolls to Suppress Information on Coronavirus https://t.co/JKoPgU6vlN "
1,"3, 9, 13",My nose is running this morning and its making the white people on my commute nervous. Bitch theres no coronavirus cases in toronto.
1,"6, 7","Hey Americans? Imagine #coronavirus in #US. Schools closed, Humans locked inside homes. Better to prepare for something"
1,"6, 9, 11, 15",And we're only about a day from MAGA world declaring that the Coronavirus was designed by noted genetic engineer Hillary
1,16,The President is telling people to buy stocks rather than helping to educate them about how to avoid coronavirus.
1,"9, 10, 14, 16",I agree. Coronavirus will be used by the fossil fuel industry and auto industry as air cover for negative secular trends
1,4,It appears that apartment buildings are being sealed shut in some parts of China hard hit by #Coronavirus. 
1,"6, 10, 16",The Coronavirus proves Trump was correct again. The US must rebuke Globalism and be self sufficient in all aspects of
1,"9, 10","If the #Coronavirus crisis makes anything clear, it’s that we need to stop relying on #China for our critical medical supply"
1,"6, 15",Professor Emerita of U.C. Berkeley School of Public Health Says ‘MAGAts’ Not Prepared for Coronavirus https://t.co/a67qmzcQEy
1,"6, 8, 11",#Chinese city of #Shenzhen to ban eating #cats and #dogs as part of moves to stop spread of #coronavirus South #China
1,"5, 9, 11",This is the complete DNA of the Coronavirus (SARS-CoV-2). We are being attacked by a 8 kilobytes virus. Remember this
1,"1, 2, 5, 15",The Usual Suspects Try To Find A Way To Blame #PresidentTrump For The #CoronaVirus ATTN Pathetic Pelosi People Who Kill
1,"2, 5, 6, 11",GOING VIRAL: Lysol Spray is known to kill ‘versions’ of human Coronavirus- it’s on their product labels #Lysol
1,"3, 6, 10",CNN Has Been Deliberately Trying To Incite Panic With #PresidentTrump Has No #CoronaVirus Plan  Talking Points  Watch
1,"2, 17",WATCH: @chrislhayes on Trump’s attempt to downplay the coronavirus spread in order to help his re-election
1,"1, 16","Janet Yellen has just said Coronavirus could ""put the US into a recession."" And that's the plan folks. All the hype for "
